"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"ABI3",0,0.209091,0.075429,0.09484,0,3,1,"Abi3",1.239273,1.75973,1.679233,55,64,50,1.559412,0.427770128451379
"ABI3BP",0.99652,1.116168,1.795284,1.30265733333333,15,18,16,"Abi3bp",0.63739,0.657506,0.804077,96,93,82,0.699657666666667,1.35477712864924
"ABITRAM",12.878776,15.022405,19.706706,15.8692956666667,130,158,143,"Abitram",0.446832,0.177343,0.347871,40,22,34,0.324015333333333,12.7410123145603
"ABL1",23.387004,25.535463,27.529949,25.4841386666667,995,1264,955,"Abl1",4.576983,4.469049,5.447473,515,535,499,4.83116833333333,4.54182372257589
"ABL2",4.876134,5.408775,4.808567,5.03115866666667,785,862,542,"Abl2",1.102341,1.060429,1.307922,344,316,270,1.15689733333333,2.79621963153245
"ABLIM1",100.860799,75.151885,120.837451,98.950045,7750,6453,5627,"Ablim1",34.740714,33.153558,32.594338,6250,5160,4006,33.4962033333333,2.89742160997234
"ABLIM2",19.980956,30.901303,25.59889,25.4937163333333,462,672,364,"Ablim2",3.791717,5.042325,4.622022,160,167,153,4.48535466666667,4.82990033339686
"ABLIM3",48.422608,52.934019,47.138285,49.498304,1626,2148,1222,"Ablim3",4.102483,4.042407,4.089614,594,546,424,4.078168,9.9441971986748
"ABO",0.839964,0.413628,1.770949,1.00818033333333,23,39,31,"Abo",0,0,0,0,0,0,0,2.00818033333333
"ABR",591.586845,672.731938,685.513728,649.944170333333,3340,3625,3006,"Abr",2.378324,2.984923,3.713034,327,330,296,3.025427,161.708104589484
"ABRA",0.028665,0.053548,0.080009,0.054074,1,2,2,"Abra",4.116302,4.098666,3.441195,388,344,235,3.88538766666667,0.21576056434416
"ABRACL",19.223716,14.20645,19.051796,17.4939873333333,138,111,99,"Abracl",31.510388,28.625277,45.292012,127,91,115,35.142559,0.511695570126436
"ABRAXAS1",4.102444,3.794132,3.584166,3.826914,77,83,56,"Abraxas1",2.62357,2.493772,2.986119,96,98,87,2.70115366666667,1.30416471044479
"ABRAXAS2",9.187908,9.791007,10.77312,9.917345,353,405,295,"Abraxas2",4.709873,4.263116,4.741499,222,212,183,4.571496,1.95949974656717
"ABT1",4.88843,4.285503,5.231131,4.801688,188,179,143,"Abt1",0.499136,0.4238,0.530647,73,58,56,0.484527666666667,3.90810365496725
"ABTB1",2.982307,4.057105,10.245762,5.76172466666667,62,115,92,"Abtb1",5.82147,7.44892,5.830129,156,143,134,6.36683966666667,0.917859621305726
"ABTB2",1.344934,1.96267,3.69669,2.33476466666667,85,140,90,"Abtb2",1.685686,1.76883,2.249357,255,274,221,1.901291,1.1494071662121
"ACAA1",46.486176,54.061449,53.958237,51.501954,591,740,475,"Acaa1a",12.394399,14.285179,15.320303,538,517,430,13.9999603333333,3.50013952259118
"ACAA1",46.486176,54.061449,53.958237,51.501954,591,740,475,"Acaa1b",0.028191,0.028929,0,1,1,0,0.01904,51.520994269116
"ACAA2",7.463552,10.616386,8.612113,8.89735033333333,146,199,117,"Acaa2",248.985981,224.128048,293.242253,7301,6225,5954,255.452094,0.0385933691511731
"ACACA",87.127535,78.297049,72.405289,79.2766243333333,3380,3012,2176,"Acaca",1.200972,0.900763,0.781195,175,153,147,0.960976666666667,40.9370624841703
"ACACB",3.694984,3.933355,3.564281,3.73087333333333,62,63,54,"Acacb",15.474208,14.95871,16.499206,4311,3965,3460,15.6440413333333,0.284238259121523
"ACAD10",11.611479,11.630295,14.269463,12.5037456666667,185,171,157,"Acad12",17.801517,18.65883,21.112006,1100,1042,881,19.1907843333333,0.668807384781635
"ACAD10",11.611479,11.630295,14.269463,12.5037456666667,185,171,157,"Acad10",0.598761,1.056781,1.076999,53,41,50,0.910847,7.06689005800395
"ACAD11",6.956361,6.78533,9.702243,7.81464466666667,123,171,123,"Acad11",20.220395,25.148927,24.795126,1888,1884,1652,23.3881493333333,0.361431470104169
"ACAD8",28.56967,26.216904,35.090426,29.959,521,559,449,"Acad8",12.259437,10.062579,9.130213,439,390,308,10.4840763333333,2.69581976829424
"ACAD9",16.730664,15.138342,15.036653,15.6352196666667,348,375,288,"Acad9",14.866479,14.620374,16.037408,450,448,379,15.1747536666667,1.02846819243677
"ACADL",0.288112,0.704497,0.707281,0.56663,9,17,9,"Acadl",202.319337,208.242625,216.801061,9518,8357,7420,209.121007666667,0.00745584659714407
"ACADM",34.991444,30.116255,36.311604,33.8064343333333,538,526,442,"Acadm",734.222656,649.816797,808.160715,11829,9984,9558,730.733389333333,0.0475670986738008
"ACADS",1.771714,2.673468,3.757556,2.734246,38,59,46,"Acads",43.777134,43.427381,54.486167,1956,1744,1558,47.2302273333333,0.0774254281281223
"ACADSB",5.696079,5.142362,5.947202,5.59521433333333,415,396,308,"Acadsb",128.314701,142.932978,153.196559,1614,1467,1364,141.481412666667,0.0462882435673399
"ACADVL",236.028354,256.563668,245.533457,246.041826333333,1257,1410,953,"Acadvl",139.431027,132.111617,154.831617,9440,8497,7659,142.124753666667,1.72605939926148
"ACAN",0.108891,0.370897,0.103268,0.194352,8,10,6,"Acan",0.015363,0.024935,0.010729,4,3,2,0.017009,1.17437702124563
"ACAP1",9.140538,8.118628,5.692809,7.65065833333333,23,41,22,"Acap1",0.252565,0.107747,0.114382,16,5,7,0.158231333333333,7.46885193343644
"ACAP2",19.442193,11.477702,6.945933,12.6219426666667,361,356,272,"Acap2",2.510354,3.088726,3.307991,345,341,264,2.96902366666667,3.4320638551664
"ACAP3",237.983872,241.790025,300.03488,259.936259,2282,2631,2345,"Acap3",1.933753,2.709172,2.375971,133,146,103,2.339632,78.1332371351095
"ACAT1",122.137156,118.34408,129.991315,123.490850333333,655,741,527,"Acat1",93.491079,94.716414,110.493341,5260,5078,4190,99.5669446666667,1.23789035001474
"ACAT2",150.038137,113.788996,97.188096,120.338409666667,2596,2136,1199,"Acat2",0.66719,0.447738,1.304108,34,26,33,0.806345333333333,67.1734288164906
