"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ACER1",0.061841,0,0.249022,0.103621,1,0,3,"Acer1",0,0.031591,0.01834,0,1,1,0.0166436666666667,1.08555341088044
"ACER2",1.702671,1.924675,1.809561,1.81230233333333,61,75,46,"Acer2",3.947421,3.484479,3.815831,144,102,257,3.74924366666667,0.5921579372884
"ACER3",5.618697,5.605735,6.031901,5.752111,410,489,347,"Acer3",3.787413,5.229111,4.580194,317,278,569,4.53223933333333,1.22050233064152
"ACHE",123.812487,148.175891,116.216143,129.401507,2791,3847,1730,"Ache",40.975505,39.58567,41.793823,506,581,1009,40.7849993333333,3.12077322198194
"ACIN1",89.895784,89.267185,92.097629,90.4201993333333,1572,1683,1229,"Acin1",60.779462,47.530941,71.424221,1076,979,2196,59.9115413333333,1.50086826457147
"ACKR1",9.846748,12.019005,14.314649,12.060134,231,292,219,"Ackr1",166.944778,148.487797,91.03635,319,329,576,135.489641666667,0.0956858985086597
"ACKR2",0.432002,0.122803,0.473199,0.342668,14,5,6,"Ackr2",1.395192,2.140758,1.461059,26,41,69,1.66566966666667,0.503688816656327
"ACKR3",0,0.074184,0.633304,0.235829333333333,0,2,7,"Ackr3",3.050158,2.948158,3.280716,129,121,228,3.09301066666667,0.301936504441067
"ACKR4",0.106321,0,0,0.0354403333333333,3,0,0,"Ackr4",0.123105,0.075444,0.028662,3,2,2,0.075737,0.96254041027996
"ACLY",254.093676,248.408509,244.338036,248.946740333333,6921,7108,4396,"Acly",39.881861,39.46645,46.557589,2100,2194,3861,41.9686333333333,5.81695811440749
"ACMSD",0.255707,0.275251,0.059046,0.196668,1,2,1,"Acmsd",0.212751,0.114118,0.264859,6,3,14,0.197242666666667,0.999520008196612
"ACO1",9.414829,8.829655,9.906688,9.383724,628,626,488,"Aco1",7.809544,8.457873,6.727965,302,342,592,7.66512733333333,1.19833484270398
"ACO2",76.722101,90.811985,92.660824,86.7316366666667,1805,2351,1468,"Aco2",234.286973,235.586682,209.599046,4458,4846,8362,226.490900333333,0.385648993160241
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0,0,0,0,0,0,1
"ACOT1",2.580575,3.185492,1.979403,2.58182333333333,39,58,23,"Acot3",0.609176,0.678222,0.564258,19,18,32,0.617218666666667,2.21480459455493
"ACOT1",2.580575,3.185492,1.979403,2.58182333333333,39,58,23,"Acot2",1.708497,1.578769,1.360424,43,41,72,1.54923,1.40506087459089
"ACOT1",2.580575,3.185492,1.979403,2.58182333333333,39,58,23,"Acot1",8.491199,8.990661,7.005025,68,71,122,8.162295,0.390930802089797
