"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"ACADM",34.991444,30.116255,36.311604,33.8064343333333,538,526,442,"Acadm",58.745312,36.227401,29.691039,514,691,140,41.554584,0.817924441073924
"ACADS",1.771714,2.673468,3.757556,2.734246,38,59,46,"Acads",6.529714,5.634912,4.78439,176,254,53,5.649672,0.561568450293488
"ACADSB",5.696079,5.142362,5.947202,5.59521433333333,415,396,308,"Acadsb",140.109473,139.144093,71.864677,1218,1759,269,117.039414333333,0.0558729842110958
"ACADVL",236.028354,256.563668,245.533457,246.041826333333,1257,1410,953,"Acadvl",29.417193,26.697487,39.322243,974,1271,339,31.8123076666667,7.52893788644734
"ACAN",0.108891,0.370897,0.103268,0.194352,8,10,6,"Acan",4.519357,3.856825,3.878308,545,722,134,4.08483,0.23488533539961
"ACAP1",9.140538,8.118628,5.692809,7.65065833333333,23,41,22,"Acap1",0.160375,0.198819,0.333643,9,13,3,0.230945666666667,7.02765245257237
"ACAP2",19.442193,11.477702,6.945933,12.6219426666667,361,356,272,"Acap2",24.012689,28.211964,19.001302,1829,3174,501,23.741985,0.550559814285987
"ACAP3",237.983872,241.790025,300.03488,259.936259,2282,2631,2345,"Acap3",20.471759,17.416901,14.26148,821,1057,290,17.38338,14.1941394346415
"ACAT1",122.137156,118.34408,129.991315,123.490850333333,655,741,527,"Acat1",41.162205,35.798947,46.975877,1423,1790,443,41.312343,2.94218758657098
"ACAT2",150.038137,113.788996,97.188096,120.338409666667,2596,2136,1199,"Acat2",40.665782,41.068989,46.124782,1183,1881,412,42.619851,2.78172453332467
"ACAT2",150.038137,113.788996,97.188096,120.338409666667,2596,2136,1199,"Acat3",1.375675,1.83732,0.479567,35,62,7,1.230854,54.3910133368955
"ACBD3",55.57853,50.960754,31.733687,46.0909903333333,687,749,476,"Acbd3",10.456161,8.817061,9.958128,748,956,223,9.74378333333333,4.38309195860552
"ACBD4",2.513592,3.070246,3.546908,3.043582,36,57,47,"Acbd4",37.992496,31.489029,41.145971,339,368,124,36.875832,0.106758895751782
