"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABCC9",1.51249,0.676152,0.605353,0.931331666666667,166,81,48,"Abcc9",0.457331,0.586749,0.748134,144,44,89,0.597404666666667,1.20904346091389
"ABCD1",6.614678,7.050127,8.893207,7.51933733333333,192,234,142,"Abcd1",3.015163,2.892315,3.204815,439,97,175,3.037431,2.11008865125703
"ABCD2",1.111828,0.947205,1.460715,1.17324933333333,91,82,86,"Abcd2",12.532056,12.875819,24.69632,1069,277,522,16.7013983333333,0.122772748932547
"ABCD3",14.822618,16.086553,17.331049,16.0800733333333,639,817,573,"Abcd3",23.050902,26.579739,25.839073,2983,814,1204,25.1565713333333,0.652993586799615
"ABCD4",49.321733,40.153747,59.337327,49.604269,485,502,452,"Abcd4",7.701302,7.200632,7.596608,671,162,279,7.499514,5.95378382811064
"ABCE1",40.838605,40.205738,45.232008,42.092117,918,1004,713,"Abce1",34.359215,33.442045,35.396792,5248,1252,2130,34.3993506666667,1.21731376955954
"ABCF1",46.260735,63.760304,59.860432,56.627157,625,761,519,"Abcf1",48.874882,43.044373,42.180863,2775,693,1070,44.7000393333333,1.26098703284851
"ABCF2",26.268774,19.429182,42.181654,29.2932033333333,443,535,432,"Abcf2",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,0.887637996777239
"ABCF3",49.775637,52.727308,46.588001,49.696982,554,722,457,"Abcf3",239.440985,240.481862,262.081136,2543,620,992,247.334661,0.204147829368048
"ABCG1",7.097047,8.637267,8.443098,8.05913733333333,274,360,227,"Abcg1",18.773829,17.063098,18.789429,2286,536,842,18.2087853333333,0.471614273163481
"ABCG2",0.071606,0.158845,0.025076,0.0851756666666667,4,11,1,"Abcg3",0.086155,0.200865,0.045136,10,6,2,0.110718666666667,0.977003177522301
"ABCG4",11.183928,15.998495,13.278866,13.4870963333333,433,622,404,"Abcg4",18.519571,16.468391,21.177021,2011,443,752,18.721661,0.734577900580145
"ABCG5",0.093551,0.161392,0.087861,0.114268,3,7,2,"Abcg5",0.010563,0.043488,0,1,1,0,0.018017,1.09454753702541
"ABCG8",0.279919,0.336852,0.476524,0.364431666666667,19,25,16,"Abcg8",0.091383,0.209021,0.104162,14,7,6,0.134855333333333,1.20229568174035
"ABHD1",1.219066,0.595476,1.404846,1.07312933333333,17,18,14,"Abhd1",0.248361,0.11232,0.155026,13,1,3,0.171902333333333,1.76902910282341
