"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"CRTAC1",1586,1.67083,1666,1.88385,1404,1.55502,1.70323333333,24.29276,24.29276,0.10687775210495
"CRTAM",27,0.138147,23,0.126312,37,0.199029,0.154496,0.70534,0.70534,0.676988752975946
"CRTAP",2730,14.1124,3026,16.7899,3013,16.3748,15.7590333333,73.79106,73.79106,0.224078029289864
"CRTC1",637,1.12799,605,1.14991,552,1.02765,1.10185,28.67002,28.67002,0.0708408689984031
"CRTC2",721,11.5062,708,12.1274,720,12.08,11.9045333333,129.90712,129.90712,0.0985777804392916
"CRTC3",1244,1.88286,1475,2.39624,1670,2.65737,2.31215666667,46.8429,46.8429,0.0692298474103785
"CRX",5,0.0370879,5,0.0398083,10,0.0779832,0.0516264666667,1.3277,1.3277,0.451787801979078
"CRY1",266,0.454758,409,0.750521,302,0.542806,0.582695,23.11027,23.11027,0.0656440180885573
"CRY2",1162,5.61845,1051,5.45449,883,4.48858,5.18717333333,24.10605,24.10605,0.246441528369855
"CRYAB",5600,64.5369,5505,68.0954,4010,48.585,60.4057666667,3728.80307,3728.80307,0.01646354124179
"CRYBA1",4,0.0915614,5,0.122846,14,0.336913,0.183773466667,1.05801,1.05801,0.575202971155145
"CRYBA2",57,3.07911,51,2.95707,29,1.64697,2.56105,0,0,3.56105
"CRYBA4",4,0.0802568,1,0.0215359,6,0.126564,0.0761189,1.28621,1.28621,0.470699935701445
"CRYBB1",67,0.624258,52,0.520036,69,0.675891,0.606728333333,2.86285,2.86285,0.415943754826877
"CRYBB2",43,0.389085,38,0.369062,59,0.561262,0.439803,0.35267,0.35267,1.06441556329334
"CRYBB3",18,0.419166,43,1.07479,24,0.587574,0.693843333333,0.56012,0.56012,1.08571349212432
"CRYBG3",2214,3.14525,2773,4.22832,2622,3.91605,3.76320666667,13.79563,13.79563,0.321933345634488
"CRYGN",77,1.12295,55,0.860941,32,0.490635,0.824842,0.47714,0.47714,1.23538865645775
"CRYGS",259,5.47653,310,7.0357,276,6.13554,6.21592333333,5.20707,5.20707,1.16253293958824
"CRYL1",528,0.754788,638,0.978931,697,1.04752,0.927079666667,115.55136,115.55136,0.0165341671402805
"CRYM",43,0.116992,21,0.0613264,28,0.0800911,0.0861365,145.69429,145.69429,0.00740408164489565
"CRYZ",644,4.02858,1315,8.82943,1201,7.89855,6.91885333333,6.1821,6.1821,1.10258188180755
"CRYZL1",851,2.72357,1122,3.85427,1009,3.39499,3.32427666667,64.84983,64.84983,0.0656687597624778
"CS",2904,17.6812,2932,19.161,2902,18.5759,18.4727,50.97122,50.97122,0.374682372282198
"CSAD",1381,10.3781,1210,9.75999,1304,10.3024,10.14683,61.32313,61.32313,0.178855426548699
"CSDC2",928,9.68926,816,9.14478,515,5.65312,8.16238666667,18.81599,18.81599,0.462373399798345
"CSDE1",14109,59.018,15448,69.3587,14569,64.0702,64.1489666667,126.44265,126.44265,0.511202228348987
"CSE1L",3436,11.8361,3562,13.1701,2911,10.5423,11.8495,35.84789,35.84789,0.348717389245354
"CSF1",1048,8.82293,1049,9.47911,1222,10.8159,9.70598,16.09836,16.09836,0.626140752680374
"CSF1R",6038,17.5566,5502,17.1715,9187,28.0839,20.9373333333,36.0346,36.0346,0.592346976430149
"CSF2RA",521,2.18888,532,2.39904,690,3.0477,2.54520666667,0,0,3.54520666667
"CSF2RB",144,0.938261,94,0.6574,368,2.52085,1.37217033333,0.82981,0.82981,1.29640254088129
"CSF3R",625,6.33482,573,6.23375,1065,11.3486,7.97239,27.36306,27.36306,0.31634069102558
"CSGALNACT1",2783,1.37392,3186,1.68824,1971,1.02299,1.36171666667,34.10529,34.10529,0.0672752359165812
"CSGALNACT2",1095,4.08245,1079,4.31786,2487,9.74812,6.04947666667,8.29812,8.29812,0.758161506484106
"CSH1",0,0,1,0.106967,0,0,0.0356556666667,0,0,1.0356556666667
"CSH2",0,0,2,0.21369,0,0,0.07123,0,0,1.07123
"CSHL1",3,0.0567082,2,0.0405784,1,0.019873,0.0390532,0,0,1.0390532
"CSK",621,5.1314,581,5.15301,707,6.14189,5.47543333333,29.52057,29.52057,0.212166199167643
"CSMD1",753,0.0638702,881,0.0802084,669,0.0596579,0.0679121666667,19.60432,19.60432,0.0518295273353695
"CSMD2",673,0.180369,718,0.206544,618,0.17413,0.187014333333,4.89589,4.89589,0.201329117967432
