"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"EDEM2",461,2.51888,496,2.9089,544,3.12496,2.85091333333,12.49064,9.78218,5.76798,9.34693333333333,0.372179196412141
"EDEM3",1167,3.15248,1364,3.9549,1277,3.62669,3.57802333333,8.38232,10.47301,10.13766,9.66433,0.429283727466236
"EDF1",2065,86.0987,2112,94.5172,1704,74.6938,85.1032333333,447.74156,400.37847,355.1895,401.103176666667,0.214132188775712
"EDIL3",14989,5.89333,16072,6.78263,13156,5.43813,6.03803,53.92181,32.55199,60.9789,49.1509,0.140337062744637
"EDN1",167,4.26906,200,5.48765,414,11.1264,6.96103666667,24.63341,12.68367,11.6015,16.3061933333333,0.460010847754503
"EDN2",1,0.0295649,3,0.0952003,7,0.217577,0.114114066667,0,0.55267,0.32773,0.293466666666667,0.861339604164777
"EDN3",14,0.0957255,49,0.359614,6,0.043131,0.166156833333,4.32368,3.75812,4.30414,4.12864666666667,0.227381004995405
"EDNRA",473,1.29037,859,2.51528,848,2.43213,2.07926,1.85537,4.31079,1.3546,2.50692,0.878052536128569
"EDNRB",3377,7.36997,5152,12.0684,3601,8.2622,9.23352333333,34.44038,56.51004,21.60807,37.5194966666667,0.265671263097934
"EEA1",1485,1.63476,2196,2.59478,1594,1.84482,2.02478666667,3.14751,3.03966,3.21172,3.13296333333333,0.73186873986381
"EED",478,2.45166,544,2.99483,569,3.0682,2.83823,14.72703,14.09297,12.65023,13.82341,0.258930300113132
"EEF1A2",10744,168.006,10847,182.058,5787,95.1374,148.400466667,508.02466,435.14112,942.16872,628.444833333333,0.237352757152401
"EEF1B2",2884,150.667,2985,167.382,3550,194.98,171.009666667,425.09606,381.00754,207.16656,337.75672,0.507767540868267
"EEF1D",3274,28.8216,2943,27.808,3163,29.2736,28.6344,627.08336,645.81718,591.32705,621.409196666667,0.0476124070124735
"EEF1E1",746,4.4632,860,5.52264,780,4.90615,4.96399666667,28.14536,28.7386,17.19469,24.6928833333333,0.232126405950416
"EEF1G",11262,135.771,10969,141.938,11123,140.978,139.562333333,609.35791,536.74866,298.82062,481.642396666667,0.291234948077051
"EEF2",21013,390.195,18735,373.411,19497,380.627,381.411,604.18937,556.89331,537.16486,566.082513333333,0.674348072826603
"EEF2K",1169,2.4766,1416,3.21992,1585,3.53028,3.0756,12.09306,11.24674,8.95785,10.7658833333333,0.346391332000856
"EEFSEC",464,0.317677,527,0.387274,609,0.438352,0.381101,44.7609,38.76948,65.89479,49.80839,0.0271825381595441
"EEPD1",527,0.620875,497,0.628478,432,0.535076,0.594809666667,16.7315,13.23634,14.92246,14.9634333333333,0.0999039262648386
"EFCAB1",16,0.113982,49,0.374674,18,0.134812,0.207822666667,8.58111,16.08256,4.93774,9.86713666666667,0.111144517982535
"EFCAB10",447,2.18398,521,2.73225,555,2.85084,2.58902333333,7.85221,8.37288,9.5259,8.58366333333333,0.374493886992761
"EFCAB11",155,0.169125,171,0.200268,178,0.204189,0.191194,24.45118,49.32539,41.35903,38.3785333333333,0.0302498315495075
"EFCAB12",18,0.115056,18,0.123495,11,0.0739207,0.104157233333,4.50591,7.26755,2.16299,4.64548333333333,0.195582409536768
"EFCAB13",1068,1.58087,1248,1.9828,993,1.54529,1.70298666667,3.59479,5.25032,6.44528,5.09679666666667,0.443345385200097
"EFCAB2",469,0.520347,949,1.13013,950,1.10811,0.919529,52.41432,180.58343,75.20221,102.73332,0.0185044593193392
"EFCAB3",16,0.0385335,20,0.0516999,28,0.0708949,0.0537094333333,0.34788,0.30397,0.30588,0.319243333333333,0.798722575819952
"EFCAB5",173,0.168605,166,0.173649,168,0.172136,0.171463333333,1.50749,0.80136,2.22854,1.51246333333333,0.466260867488481
"EFCAB6",2216,1.3651,2246,1.48506,2122,1.37429,1.40815,3.42913,2.45936,3.36465,3.08438,0.58959989031383
"EFCAB7",276,0.977595,321,1.22038,281,1.04639,1.081455,8.69707,5.41612,10.64017,8.25112,0.224994919534067
"EFCAB9",2,0.0376385,2,0.0403992,2,0.0395704,0.0392027,0.19879,0,0,0.0662633333333333,0.974621059838251
"EFEMP1",277,0.831857,271,0.873532,1310,4.13598,1.947123,97.68877,120.14946,53.50674,90.4483233333333,0.0322271955633085
"EFEMP2",382,9.33096,421,11.0379,583,14.9717,11.7801866667,78.82027,66.12642,77.40889,74.1185266666667,0.170133617282075
"EFHB",58,0.149992,26,0.0721694,102,0.277318,0.166493133333,5.56612,13.81664,11.12084,10.1678666666667,0.10445084707312
"EFHC1",4523,4.70997,5839,6.52636,4549,4.98019,5.40550666667,13.12015,14.618,11.86368,13.20061,0.451072641715391
"EFHC2",137,0.122235,189,0.181,89,0.0834841,0.128906366667,3.08125,8.04128,6.99149,6.03800666666667,0.160401434686573
"EFHD1",341,0.77645,622,1.52016,403,0.964723,1.087111,125.45312,106.16703,82.41218,104.677443333333,0.0197498248837902
"EFHD2",447,3.81823,391,3.58486,678,6.08867,4.49725333333,21.4362,19.31566,124.86363,55.2051633333333,0.0978069096735419
"EFNA1",396,9.84921,281,7.50158,453,11.8452,9.73199666667,25.32917,17.0221,12.75947,18.3702466666667,0.554045431188968
"EFNA2",6,0.067369,7,0.0843621,4,0.0472179,0.0663163333333,2.20326,3.09493,2.62181,2.64,0.292944047619038
"EFNA3",30,0.602272,52,1.12051,29,0.612079,0.778287,34.92079,31.50193,23.81476,30.07916,0.0572179878735461
"EFNA4",37,1.1112,26,0.838118,47,1.48398,1.14443266667,0.5798,1.79616,1.42015,1.26537,0.946614754618451
"EFNA5",340,0.201999,390,0.2487,350,0.218614,0.223104333333,5.35077,6.88068,8.78306,7.00483666666667,0.152795663954792
"EFNB1",715,9.50608,756,10.7884,883,12.3422,10.8788933333,8.21666,7.73732,8.36794,8.10730666666667,1.30432561108077
"EFNB2",824,3.13498,853,3.48335,670,2.67991,3.09941333333,10.12173,9.61638,11.79814,10.5120833333333,0.356096565202939
"EFNB3",6,0.169858,9,0.273475,8,0.238102,0.227145,61.22735,47.25289,28.64326,45.7078333333333,0.0262727879335015
"EFR3A",1689,2.69344,2189,3.74683,2091,3.50566,3.31531,12.7557,14.59037,19.00811,15.4513933333333,0.262306657713693
"EFR3B",1041,1.55358,862,1.3808,758,1.18929,1.37455666667,24.41805,21.77502,10.31245,18.8351733333333,0.119714439937841
"EFS",905,16.9094,1151,23.0831,740,14.5361,18.1762,30.7959,32.57963,24.71054,29.3620233333333,0.63158504917382
"EFTUD2",1612,5.68942,1511,5.72411,1804,6.69387,6.0358,64.2589,58.77597,87.10959,70.0481533333333,0.0990286118625837
"EGF",60,0.103901,71,0.131968,55,0.100131,0.112,2.26952,3.01203,1.90081,2.39412,0.327625422790002
"EGFL6",8,0.0218459,2,0.00586207,13,0.0373217,0.0216765566667,0.36445,0.22107,0.43697,0.34083,0.761973223053407
"EGFL7",1046,13.2196,1357,18.4081,700,9.30089,13.6428633333,84.68458,74.1677,166.15711,108.336463333333,0.133924794042939
"EGFL8",2401,113.765,2353,119.668,2168,107.998,113.810333333,26.33969,42.30654,32.00791,33.55138,3.32288705495989
"EGFLAM",1708,1.44098,1092,0.988854,1233,1.09363,1.174488,5.06915,4.33842,0,3.13585666666667,0.525764835499618
"EGFR",1664,1.50925,2602,2.53312,3282,3.12956,2.39064333333,11.01628,10.63881,8.32424,9.99311,0.308433494555226
"EGLN1",1648,4.91833,2347,7.5182,1818,5.70417,6.0469,25.01442,30.3137,19.70726,25.0117933333333,0.270911732601289
"EGLN2",1914,35.4247,1982,39.3739,1481,28.8176,34.5387333333,81.53707,75.4941,61.37217,72.8011133333333,0.481547387676717
"EGLN3",736,0.23875,842,0.293169,1059,0.361161,0.297693333333,33.33047,38.82475,47.47658,39.8772666666667,0.0317460886980294
"EGR1",2913,133.045,626,30.6884,828,39.7583,67.8305666667,34.83796,31.2256,171.94694,79.3368333333333,0.856774704836926
"EGR2",1095,1.77281,759,1.31896,908,1.54551,1.54576,4.32368,3.75812,3.03693,3.70624333333333,0.540932505969021
"EGR3",965,28.9565,240,7.72983,369,11.6408,16.1090433333,26.7207,18.79062,17.21654,20.9092866666667,0.780903714192125
"EGR4",4,0.252,3,0.202863,0,0,0.151621,15.75412,13.09817,6.57637,11.8095533333333,0.0899032909292179
"EHBP1",8901,4.17295,9315,4.68736,9209,4.53895,4.46642,43.05462,59.52207,86.9348,63.1704966666667,0.0851858764378168
"EHBP1L1",1640,17.2542,1455,16.4307,2638,29.1786,20.9545,35.96444,27.4951,71.02916,44.8295666666667,0.479046641651277
"EHD1",1154,5.50001,1152,5.89319,921,4.61482,5.33600666667,29.3878,38.54841,24.77609,30.9041,0.198595373844428
"EHD2",1090,6.40871,1178,7.43412,1144,7.07145,6.97142666667,18.83536,25.33971,23.00637,22.3938133333333,0.340749349115806
