"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg__TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"ZDHHC1",3.55108,4.255407,4.439183,4.08189,42,66,43,4.684099,7.674706,4.88152,5.746775,84,124,138,0.753232470328416
"ZDHHC11",10.483309,16.130139,18.002265,14.8719043333333,77,136,99,8.473904,14.626182,7.421392,10.173826,100,171,131,1.4204538654292
"ZDHHC11B",8.299395,9.043269,11.238139,9.52693433333333,213,220,169,7.861561,6.974468,6.9605,7.26550966666667,237,309,301,1.27359772813364
"ZDHHC12",2.433703,3.438305,3.538252,3.13675333333333,30,44,31,4.803209,4.100182,3.778828,4.22740633333333,74,88,89,0.79135867188183
"ZDHHC13",26.59886,28.216108,19.357237,24.7240683333333,401,361,244,21.823097,23.843462,19.67661,21.7810563333333,427,546,543,1.12918681016972
"ZDHHC14",26.029364,46.583999,48.448105,40.3538226666667,740,805,761,25.376125,22.358784,23.569128,23.7680123333333,548,738,750,1.66964640158111
"ZDHHC15",4.433941,4.760836,4.787336,4.66070433333333,297,328,236,4.533895,4.493838,3.016168,4.01463366666667,377,489,359,1.12883706161055
"ZDHHC16",33.223125,28.854959,29.589551,30.5558783333333,410,430,291,21.732423,24.087832,19.141645,21.6539666666667,333,498,448,1.3929515655095
"ZDHHC17",48.057947,32.414524,43.273572,41.248681,1294,1243,981,41.41386,42.962314,28.798439,37.724871,1309,1721,1548,1.0909960423109
"ZDHHC18",20.719422,24.359641,22.208165,22.429076,488,482,327,17.264091,16.781718,13.878776,15.9748616666667,475,705,649,1.38022191049765
"ZDHHC19",1.036149,0.260292,1.776327,1.024256,3,3,5,0.995314,1.174819,1.314874,1.161669,6,11,13,0.936431988431161
"ZDHHC2",29.813535,31.782556,32.610552,31.4022143333333,429,528,408,35.343657,20.435144,17.027558,24.2687863333333,638,410,442,1.28230196361231
"ZDHHC20",13.256843,17.143706,32.172334,20.8576276666667,295,310,236,24.457539,18.348965,17.591028,20.1325106666667,392,474,449,1.03431286568064
"ZDHHC20P1",0,0,0,0,0,0,0,0.333033,0,0,0.111011,1,0,0,0.900081097306867
"ZDHHC20P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZDHHC20P3",3.241403,0.744068,0,1.32849033333333,4,1,0,0,0,0,0,0,0,0,2.32849033333333
"ZDHHC21",4.981192,4.161152,4.051624,4.39798933333333,540,529,352,8.270695,4.560262,4.447795,5.759584,1009,836,803,0.798568274812967
"ZDHHC22",5.004838,6.832649,5.807745,5.881744,224,320,185,5.238805,4.91704,5.495846,5.21723033333333,260,370,415,1.10688258775035
"ZDHHC23",6.29959,6.960423,7.484168,6.914727,334,372,303,2.478777,1.770639,2.637028,2.29548133333333,162,183,253,2.40169073935988
"ZDHHC24",3.080413,2.991985,3.378283,3.150227,171,179,136,4.344236,3.333707,4.59468,4.09087433333333,281,318,442,0.815228726591365
"ZDHHC3",30.742015,38.220873,34.413313,34.4587336666667,686,798,564,26.125739,32.758618,29.116134,29.333497,749,1074,1033,1.16896293449669
